Id,Location
0,"http://museums.bristol.gov.uk/labels/#/id/14209/portrait-of-a-man,egypt"
1,http://museums.bristol.gov.uk/labels/#/id/14135/narcissus
2,http://museums.bristol.gov.uk/labels/#/id/14139/withypool-triptych
3,http://museums.bristol.gov.uk/labels/#/id/14134/christ-in-gethsemane
4,http://museums.bristol.gov.uk/labels/#/id/14136/portrait-of-francesco-maria-sforza-2C-known-as--il-duchetto-
5,http://museums.bristol.gov.uk/labels/#/id/14140/saint-jerome-in-a-landscape
6,http://museums.bristol.gov.uk/labels/#/id/14137/the-madonna-adoring-the-infant-christ
7,http://museums.bristol.gov.uk/labels/#/id/14163/the-holy-family-at-a-meal
8,http://museums.bristol.gov.uk/labels/#/id/14158/portrait-of-martin-luther
9,http://museums.bristol.gov.uk/labels/#/id/14124/the-brazen-serpent
10,http://museums.bristol.gov.uk/labels/#/id/14160/the-entombment
